t,o,h,l,c,v
1727740800,152.46,154.3,151.46,154.14,35523
1727744400,154.1,154.69,153.91,154.33,15988
1727748000,154.29,154.3,152.97,153.86,10719
1727751600,153.86,155.21,153.76,155.01,14340
1727755200,155.05,155.82,154.75,155.68,12900
1727758800,155.73,155.74,154.97,155.4,20464
1727762400,155.4,157.13,155.39,156.8,16543
1727766000,156.79,156.91,156.09,156.75,18733
1727769600,156.78,156.9,155.94,156.3,9587
1727773200,156.32,157.26,156.19,156.8,9047
1727776800,156.79,157.22,156.45,157.04,13013
1727780400,157.06,157.27,156.42,156.47,12923
1727784000,156.46,156.64,155.78,156.08,16096
1727787600,156.06,156.14,152.3,153.71,95937
1727791200,153.69,154.5,150.45,150.8,92079
1727794800,150.8,151.07,145.88,149.53,168703
1727798400,149.54,149.96,146.51,148.51,71001
1727802000,148.4,148.41,142.45,147.6,145850
1727805600,147.53,149.37,146.68,147.3,51654
1727809200,147.25,147.72,145.15,145.35,22353
1727812800,145.34,145.93,142.12,145.08,95069
1727816400,144.96,146.32,144.11,146.16,20712
1727820000,146.18,146.18,143.72,144.57,30816
1727823600,144.6,145.37,144.05,145.08,14663
1727827200,145.06,145.51,143.39,144.44,53110
1727830800,144.46,146.2,144.24,146.11,37270
1727834400,146.09,147.29,145.64,147.24,18246
1727838000,147.22,147.95,146.99,147.15,13147
1727841600,147.1,147.14,146.38,146.57,14368
1727845200,146.59,147.06,146.13,146.6,10989
1727848800,146.61,148.85,146.26,148.28,47667
1727852400,148.31,148.64,147.55,147.67,21815
1727856000,147.66,148.36,147.07,147.91,15474
1727859600,147.91,148.06,145.7,145.9,25838
1727863200,145.95,147.21,145.61,145.71,18771
1727866800,145.7,146.68,145.1,146.03,24827
1727870400,146.06,146.1,143.59,143.9,44754
1727874000,143.91,146.23,142.68,145.86,58653
1727877600,145.9,146.91,145.01,145.2,38670
1727881200,145.21,147.58,145.12,147.41,31040
1727884800,147.37,148.34,145.88,145.95,31065
1727888400,145.93,146.26,144.7,145.7,20910
1727892000,145.62,145.77,142,142.17,38248
1727895600,142.21,142.78,138.5,139.92,109128
1727899200,139.95,141.53,138.54,140.73,33951
1727902800,140.72,141.45,139.65,140.73,12639
1727906400,140.7,141.47,139.3,141.46,14617
1727910000,141.48,141.61,140.13,140.15,15629
1727913600,140.11,141.33,138.63,140.72,52825
1727917200,140.61,142.08,140.53,141.32,46344
1727920800,141.32,142.35,140.98,141.94,19310
1727924400,141.93,142.86,141.64,142.8,27259
1727928000,142.79,142.79,141.72,141.98,10564
1727931600,142.02,142.23,140.84,141.2,14172
1727935200,141.16,142.16,140.95,141.56,17766
1727938800,141.57,142.03,139.75,139.8,19699
1727942400,139.8,139.98,135.71,136.04,100850
1727946000,136.01,137.6,135.13,137.26,48427
1727949600,137.23,138.17,136.65,138.17,18129
1727953200,138.19,138.4,136.71,136.75,15621
1727956800,136.75,136.89,135.21,136.07,47624
1727960400,136.03,137.28,134.36,136.88,65971
1727964000,136.9,138.44,134.54,134.7,68111
1727967600,134.75,136.01,132.96,135.51,59433
1727971200,135.5,136.58,133.58,135,32435
1727974800,134.93,136.65,133.98,135.89,23358
1727978400,135.88,136.87,135.09,136,11774
1727982000,135.97,137.37,135.36,137.32,11209
1727985600,137.27,137.78,135.88,135.95,15324
1727989200,135.94,137.18,135.19,137.07,9575
1727992800,137.03,137.37,136.3,136.81,18389
1727996400,136.9,137.36,135.84,136.7,14056
1728000000,136.69,137.33,135.85,135.89,10944
1728003600,135.89,138.58,135.88,138.06,30825
1728007200,138.1,138.32,137.17,137.49,16835
1728010800,137.51,137.58,136.7,137.26,15347
1728014400,137.26,138.27,137.26,137.61,17720
1728018000,137.67,139.39,137.51,139.24,32863
1728021600,139.18,139.58,138.25,138.4,17140
1728025200,138.39,139.68,138.18,139.44,16113
1728028800,139.42,140.94,139.14,139.93,43549
1728032400,139.92,140.47,139.45,139.67,31717
1728036000,139.66,140.22,139.06,139.36,10640
1728039600,139.38,140.14,139.33,140.04,13103
1728043200,140.09,142.24,139.1,142.2,63415
1728046800,142.21,142.57,140.33,141.04,65484
1728050400,141.04,141.11,138.03,139.8,54691
1728054000,139.74,142.49,139.74,142.32,39198
1728057600,142.36,144.33,141.74,143.78,48526
1728061200,143.71,143.94,142.47,142.72,16752
1728064800,142.72,143.83,142.25,143.82,12539
1728068400,143.83,144.45,143.43,143.8,16834
1728072000,143.81,143.88,142.73,143.61,14713
1728075600,143.61,144.47,143.21,143.47,9722
1728079200,143.49,143.67,142.51,142.85,18682
1728082800,142.86,143.17,142.51,143.06,7171
1728086400,143.2,143.96,143.01,143.96,11020
1728090000,143.95,143.97,142.82,143.52,20174
1728093600,143.48,143.67,142.22,142.31,17905
1728097200,142.29,142.33,141.61,141.76,18627
1728100800,141.75,142.7,141.49,142.28,8818
1728104400,142.32,143.51,142.26,143.47,7320
1728108000,143.43,144.35,143.03,144.23,16323
1728111600,144.27,144.45,143.68,143.71,11493
1728115200,143.73,144.85,143.65,144.4,15155
1728118800,144.42,144.79,144.33,144.67,6871
1728122400,144.6,144.62,143.8,143.93,7174
1728126000,143.91,144.15,143.24,143.37,6427
1728129600,143.39,144.02,143.31,144.02,5836
1728133200,144.04,144.1,142.68,142.72,14811
1728136800,142.73,143.46,142.43,143.08,14551
1728140400,143.12,143.27,142.48,142.84,5457
1728144000,142.8,142.92,142.06,142.15,9631
1728147600,142.16,142.79,142.06,142.6,4250
1728151200,142.64,142.83,142.01,142.23,5850
1728154800,142.22,142.39,141.94,142.11,5683
1728158400,142.11,142.21,140.96,141.08,7093
1728162000,141.06,142.21,141.05,141.69,4780
1728165600,141.6,142.92,141.54,142.9,5698
1728169200,142.87,142.87,142.25,142.54,3459
1728172800,142.54,142.62,141.94,142.23,3597
1728176400,142.24,143.47,142.08,143.47,9568
1728180000,143.47,143.55,142.83,143.13,6573
1728183600,143.14,143.6,142.54,142.61,18729
1728187200,142.64,143.09,142.05,142.37,9602
1728190800,142.34,142.85,142.14,142.56,3871
1728194400,142.58,143.32,142.52,142.95,3096
1728198000,143,143.38,142.74,142.93,3774
1728201600,142.93,143.4,142.59,143.25,7067
1728205200,143.26,144.18,143.24,143.7,14058
1728208800,143.72,143.97,143.31,143.49,9945
1728212400,143.49,144.25,143.33,143.95,9235
1728216000,143.96,144.55,143.86,144.42,15140
1728219600,144.45,144.87,144.28,144.31,11222
1728223200,144.29,146.55,144.02,146.28,23142
1728226800,146.28,146.57,145.11,145.86,14272
1728230400,145.87,146.4,144.8,144.81,16300
1728234000,144.81,145.53,144.81,145.04,4835
1728237600,145.04,145.89,145.04,145.84,4520
1728241200,145.84,146.44,145.17,145.34,10223
1728244800,145.3,145.48,145.08,145.4,3880
1728248400,145.32,145.88,144.23,144.29,10944
1728252000,144.34,145.39,144.33,145.29,9873
1728255600,145.3,146.68,145.3,146.41,23075
1728259200,146.4,149.31,145.81,149.14,43720
1728262800,149.16,150.34,148.56,150.33,37506
1728266400,150.34,150.97,149.13,149.41,26394
1728270000,149.42,149.98,148.93,149.81,38869
1728273600,149.82,150.39,149.41,149.42,14282
1728277200,149.47,149.99,148.66,148.78,25880
1728280800,148.81,149.42,148.63,149.42,10424
1728284400,149.36,149.4,147.87,147.98,48343
1728288000,148,149.11,147.91,148.39,10128
1728291600,148.35,148.47,146.69,147.32,35950
1728295200,147.3,147.3,146.03,146.55,14213
1728298800,146.58,147.37,145.58,147.37,35789
1728302400,147.37,147.37,146.46,146.48,12025
1728306000,146.44,147.91,146.33,147.79,16954
1728309600,147.81,152.23,147.7,150.47,84866
1728313200,150.41,150.44,148.24,148.63,36148
1728316800,148.63,149.35,147.68,149.1,17056
1728320400,149.07,149.26,148.26,149.04,7311
1728324000,149.04,149.05,145.29,145.61,47657
1728327600,145.67,147.26,145.53,146.96,26316
1728331200,147,147.17,145.6,145.62,17389
1728334800,145.65,146.98,145.65,146.81,12665
1728338400,146.78,146.79,144.3,144.37,29552
1728342000,144.37,145.61,143.36,143.89,63843
1728345600,143.86,145.02,143.42,144.79,20124
1728349200,144.72,145.35,143.85,144.98,18167
1728352800,144.96,145.52,144.01,145.25,16378
1728356400,145.26,145.26,144.5,144.64,11629
1728360000,144.66,145.02,143.63,144.25,13076
1728363600,144.22,144.33,142.85,143.7,27799
1728367200,143.71,144.25,142.71,144.07,19971
1728370800,144,144,142.07,143.01,29187
1728374400,142.99,143.62,142.64,143.44,14584
1728378000,143.54,143.9,142.81,143.59,10544
1728381600,143.61,144.28,143.18,144.04,12940
1728385200,143.99,144.58,143.86,144.44,7032
1728388800,144.42,144.52,143.16,143.2,9312
1728392400,143.22,145.01,142.64,144.97,36202
1728396000,145,145.46,142.36,144.03,61164
1728399600,144.08,144.28,141.09,142.73,40299
1728403200,142.74,143.81,141.68,143.68,33307
1728406800,143.74,143.84,142.33,143.27,12478
1728410400,143.27,143.82,142.27,142.82,8443
1728414000,142.79,143.95,142.17,143.64,13908
1728417600,143.62,144.38,143.25,144.38,11494
1728421200,144.37,144.59,143.91,144.08,6875
1728424800,144.12,144.15,143.07,143.1,6309
1728428400,143.12,143.54,142.58,143.42,5114
1728432000,143.42,144.15,143.02,144.14,9108
1728435600,144.15,145.23,143.92,144.75,17931
1728439200,144.69,144.76,143.83,143.84,11368
1728442800,143.85,144.51,143.47,143.88,13223
1728446400,143.83,144.03,143.11,143.22,4519
1728450000,143.27,144.25,142.96,144.12,11185
1728453600,144.11,144.11,143.26,143.4,5005
1728457200,143.36,143.36,142.67,143.17,23638
1728460800,143.1,143.44,142.49,142.88,15967
1728464400,142.88,143.24,142.63,143.18,9419
1728468000,143.16,143.35,142.44,142.59,14041
1728471600,142.61,143.25,142.55,143.13,5286
1728475200,143.15,143.28,141.21,141.83,28469
1728478800,141.8,142.18,140.17,141.07,52227
1728482400,141.14,142.01,140.66,141.27,18922
1728486000,141.3,143.04,141.3,142.71,22240
1728489600,142.77,142.82,140.62,140.86,18441
1728493200,140.8,141.4,140.39,141.11,8942
1728496800,141.08,141.39,139.82,140.56,22881
1728500400,140.55,141.09,140,141.07,9894
1728504000,140.99,141,138.72,138.79,30794
1728507600,138.75,140.06,138.64,139.81,11027
1728511200,139.8,139.84,139.15,139.17,12043
1728514800,139.17,139.67,139.05,139.31,5559
1728518400,139.32,139.35,137.51,138.46,41609
1728522000,138.41,139.77,138.41,139.28,28868
1728525600,139.26,139.84,139.21,139.69,9632
1728529200,139.68,140.31,139.49,139.8,6999
1728532800,139.82,140.21,139.59,139.8,6872
1728536400,139.81,140.91,139.43,140.48,13832
1728540000,140.48,140.64,140.06,140.45,9660
1728543600,140.43,140.43,139.6,139.6,6662
1728547200,139.64,140.11,138.5,138.58,28153
1728550800,138.58,138.75,137.37,138.36,26228
1728554400,138.35,139.59,138.3,139.42,16534
1728558000,139.39,140.41,139.25,140.34,11696
1728561600,140.34,140.68,138.23,138.94,39235
1728565200,138.89,140.13,137.26,138.03,40975
1728568800,138,138.64,136.09,137.47,48408
1728572400,137.47,138.62,137.01,138.61,20062
1728576000,138.63,139.06,137.7,138,18106
1728579600,138.02,138.45,136.42,136.54,32366
1728583200,136.54,137.27,135.44,137.24,58525
1728586800,137.24,138.09,136.88,138.01,11979
1728590400,138.01,138.72,137.11,137.52,37812
1728594000,137.54,138.6,137.27,138.59,12045
1728597600,138.58,138.77,137.77,138.45,9805
1728601200,138.5,138.99,138.49,138.95,8169
1728604800,138.95,139.75,138.77,139.25,26406
1728608400,139.25,140.43,138.63,140.14,24497
1728612000,140.15,140.94,139.6,140.8,20924
1728615600,140.84,141.42,140.74,140.74,24731
1728619200,140.73,141.07,140.55,140.98,7386
1728622800,140.95,141.31,140.76,140.85,16294
1728626400,140.84,141.8,140.84,141.39,12048
1728630000,141.39,141.96,141.02,141.1,24153
1728633600,141.1,141.58,140.89,141.32,13099
1728637200,141.32,142.22,141.31,142.02,17690
1728640800,142.04,142.58,141.61,141.91,17347
1728644400,141.89,142.2,141.51,141.92,7186
1728648000,141.89,143.03,141.8,142.9,27738
1728651600,142.91,143.75,142.22,143.45,28336
1728655200,143.47,144.23,143.37,143.73,25447
1728658800,143.75,145.42,143.59,144.3,40763
1728662400,144.3,144.69,143.83,144.62,15607
1728666000,144.66,146.08,144.55,145.78,30411
1728669600,145.79,146.07,145.03,145.73,16981
1728673200,145.71,146.44,145.08,145.38,12942
1728676800,145.32,146.04,145.04,146.03,6434
1728680400,146.02,146.35,145.71,145.75,12036
1728684000,145.77,146.01,145.26,145.76,10481
1728687600,145.75,145.83,145.05,145.38,13867
1728691200,145.41,146.49,145.4,146.15,11424
1728694800,146.24,146.38,145.61,145.78,7649
1728698400,145.78,145.79,144.77,144.92,9797
1728702000,144.92,145.16,144.62,145.06,5365
1728705600,145.04,145.89,145.04,145.32,10707
1728709200,145.33,145.87,145.29,145.82,3509
1728712800,145.85,145.89,145.52,145.7,4589
1728716400,145.66,145.84,145.33,145.49,9129
1728720000,145.49,145.79,145.37,145.64,3570
1728723600,145.59,145.78,145.41,145.77,3404
1728727200,145.77,146.82,145.6,146.69,17797
1728730800,146.75,147.11,146.15,146.19,32659
1728734400,146.2,147.13,145.77,146.93,18201
1728738000,146.91,147.2,146.15,146.45,9295
1728741600,146.45,147.17,146.14,146.84,11960
1728745200,146.83,147.15,145.65,146.03,12773
1728748800,146.04,146.85,146.04,146.36,15549
1728752400,146.36,146.96,146.26,146.88,12418
1728756000,146.92,147.12,146.17,146.39,6479
1728759600,146.38,146.86,146.17,146.73,6314
1728763200,146.72,146.87,146.53,146.67,2277
1728766800,146.66,147.13,146.43,146.69,5374
1728770400,146.68,147.13,146.35,147,8020
1728774000,146.98,147.07,146.27,146.33,8171
1728777600,146.36,146.98,146.35,146.62,7891
1728781200,146.61,146.61,145.69,145.93,15576
1728784800,145.89,146.03,145.66,146.03,4772
1728788400,146.05,146.05,145.08,145.2,11412
1728792000,145.22,145.93,145.22,145.83,6167
1728795600,145.81,146.66,145.8,146.45,3468
1728799200,146.45,146.89,146.24,146.33,2323
1728802800,146.34,146.48,145.95,146.38,8090
1728806400,146.38,147,146.37,146.51,8289
1728810000,146.54,147.83,146.53,147.64,13317
1728813600,147.59,148.3,147.07,147.09,14450
1728817200,147.07,147.49,146.34,146.45,23914
1728820800,146.44,147.58,146.44,147.25,21904
1728824400,147.23,147.97,147.15,147.17,12283
1728828000,147.15,147.18,145.22,145.39,25899
1728831600,145.38,145.93,144.36,145.26,25927
1728835200,145.24,146.07,144.82,145.87,15236
1728838800,145.91,146.42,145.11,145.31,13108
1728842400,145.33,145.72,144.61,145.27,8592
1728846000,145.33,146.04,145.33,145.93,9284
1728849600,145.94,146.25,145.56,146.25,4164
1728853200,146.25,147.9,145.93,147.81,12873
1728856800,147.8,148.78,147.37,147.73,20341
1728860400,147.72,147.72,146.86,147.61,8119
1728864000,147.65,147.86,146.72,147.15,16275
1728867600,147.14,148.2,147.14,147.69,17664
1728871200,147.69,148.73,147.05,148.32,16883
1728874800,148.33,152.44,148.28,152.35,70198
1728878400,152.37,153.23,152.02,152.12,41052
1728882000,152.12,152.37,150.8,151.33,23304
1728885600,151.35,152.34,150.92,151.83,25579
1728889200,151.84,153.02,151.52,152.93,38954
1728892800,152.95,153.26,152.23,152.4,16313
1728896400,152.41,153.54,151.96,152.85,26999
1728900000,152.87,153.85,152.56,153.05,19655
1728903600,153.07,153.2,152.62,153.06,10787
1728907200,153.07,153.47,152.52,153.07,15426
1728910800,153.06,154.24,152.57,153.59,30888
1728914400,153.6,155.87,153.53,154.9,77523
1728918000,154.92,158.03,154.89,156.67,76562
1728921600,156.66,156.85,154.65,155.08,40518
1728925200,155.02,156.01,154.93,155.56,19866
1728928800,155.53,156.22,155.27,155.76,10377
1728932400,155.76,156.21,155.38,155.55,12275
1728936000,155.55,156.29,155.33,155.98,7043
1728939600,156,156.41,155.42,155.68,4658
1728943200,155.65,158.07,155.63,157.92,27485
1728946800,157.88,157.95,156.8,157.52,11682
1728950400,157.54,158.21,156.76,157.37,20489
1728954000,157.36,158.08,156.65,157.12,11005
1728957600,157.14,157.98,156.79,157.4,10347
1728961200,157.41,157.47,155.2,155.43,19005
1728964800,155.43,156.29,155.04,155.95,8272
1728968400,155.98,156.05,154.03,154.35,19527
1728972000,154.33,154.88,153.73,154.81,8677
1728975600,154.81,155.35,154.68,155.03,11919
1728979200,155.07,155.47,154.7,154.81,8798
1728982800,154.84,154.9,154.1,154.34,11124
1728986400,154.35,155.18,154.05,154.88,10773
1728990000,154.89,154.89,151.74,152.35,33008
1728993600,152.4,153.84,152.02,153.4,18726
1728997200,153.41,158.83,152.83,158.45,49598
1729000800,158.42,159.54,151.38,152.36,165973
1729004400,152.33,154.81,150.28,153.26,87326
1729008000,153.21,156.22,153.01,154.82,38523
1729011600,154.9,155.55,153.86,154.72,16061
1729015200,154.71,156.24,154.52,154.99,13522
1729018800,155,155.44,154.11,155.07,8749
1729022400,155.1,155.17,152.17,152.74,26641
1729026000,152.73,153.49,152.25,153.49,6595
1729029600,153.49,153.96,152.87,152.94,11229
1729033200,152.92,154.97,152.89,154.66,12917
1729036800,154.67,154.89,153.28,153.66,9795
1729040400,153.75,154.92,152.96,154.7,17698
1729044000,154.72,156,154.31,154.39,13982
1729047600,154.4,154.61,153.7,154.13,12006
1729051200,154.09,154.67,153.1,153.84,13521
1729054800,153.86,154.56,153.67,154.15,13699
1729058400,154.1,154.86,153.22,154.01,11939
1729062000,153.96,153.96,152.95,153.51,10820
1729065600,153.59,154.84,153.35,154.4,16525
1729069200,154.44,155.73,154.38,155.27,16968
1729072800,155.27,156.35,154.93,155.84,31208
1729076400,155.83,158.33,155.2,155.78,76320
1729080000,155.79,156.43,155.11,155.36,27489
1729083600,155.4,155.87,153.81,154.38,37186
1729087200,154.42,156.79,154.02,155.12,38010
1729090800,155.15,155.89,154.01,155.6,21207
1729094400,155.61,155.9,154.1,155.24,31343
1729098000,155.29,155.59,154.75,155.03,9217
1729101600,155,155.17,154.29,154.34,12966
1729105200,154.36,154.67,154.07,154.32,10107
1729108800,154.29,155.07,153.92,154.33,11304
1729112400,154.32,154.66,153.57,153.81,12391
1729116000,153.86,154.95,153.83,154.81,4835
1729119600,154.79,154.84,153.99,154.16,6910
1729123200,154.2,155.47,154.2,154.78,6973
1729126800,154.8,155.63,154.01,155.52,17747
1729130400,155.59,155.66,153.8,153.9,18864
1729134000,153.89,154.73,153.72,154.58,9756
1729137600,154.59,154.71,153.05,153.22,18709
1729141200,153.23,153.61,152.32,152.63,25233
1729144800,152.57,153.24,152.19,152.24,12915
1729148400,152.3,152.64,151.54,152.58,21833
1729152000,152.57,153.25,152.12,153.2,14095
1729155600,153.2,153.42,152.79,153.02,10818
1729159200,153.01,153.26,151.34,152.37,26782
1729162800,152.4,152.58,151.09,151.29,19939
1729166400,151.35,152.52,151.03,152.51,15435
1729170000,152.51,153.22,151.36,152.07,19332
1729173600,152.1,152.3,150.81,151.9,33227
1729177200,151.91,153.07,151.14,152.81,25249
1729180800,152.77,152.85,150.66,151.17,23128
1729184400,151.25,151.44,149.16,149.36,29650
1729188000,149.4,149.44,147.65,148.54,71115
1729191600,148.51,149.67,148.24,149.33,17985
1729195200,149.31,150.41,149.25,149.6,15556
1729198800,149.59,150.24,149.59,150.11,4964
1729202400,150.15,150.9,150.15,150.86,10403
1729206000,150.84,150.84,150.16,150.47,5021
1729209600,150.41,150.72,149.65,149.76,11769
1729213200,149.74,152.72,149.62,152.34,19773
1729216800,152.4,153.17,151.95,153.11,14753
1729220400,153.11,153.16,151.69,151.76,9016
1729224000,151.81,152.64,151.81,152.38,4346
1729227600,152.3,152.98,152.19,152.95,2632
1729231200,152.96,153.99,152.8,153.64,14433
1729234800,153.62,154.16,153.27,153.85,7358
1729238400,153.83,154.28,153.38,153.65,10703
1729242000,153.62,154.03,153.2,153.45,8071
1729245600,153.52,153.92,153.33,153.69,5017
1729249200,153.67,153.97,152.82,152.96,8375
1729252800,152.95,153.25,152.08,152.31,7954
1729256400,152.34,153.86,152.17,153.75,14753
1729260000,153.78,154.71,152.94,154.35,25223
1729263600,154.37,155.19,153.79,154.66,24019
1729267200,154.66,156.01,153.59,155.63,22249
1729270800,155.62,156.19,155.25,155.39,8836
1729274400,155.39,156.56,155.09,156.05,8425
1729278000,156.01,156.09,154.46,154.77,6350
1729281600,154.77,154.85,154.12,154.5,4168
1729285200,154.48,154.7,153.68,154.28,8421
1729288800,154.27,154.32,153.8,154.24,2516
1729292400,154.24,155.12,154.24,154.89,3384
1729296000,154.89,155,154.36,154.51,1985
1729299600,154.47,154.92,154.31,154.34,2116
1729303200,154.31,154.98,154.16,154.95,9866
1729306800,154.94,155.93,154.49,154.49,13213
1729310400,154.52,154.92,154.13,154.13,5740
1729314000,154.14,154.97,154.13,154.92,5712
1729317600,154.9,155.07,154.45,154.49,3469
1729321200,154.51,154.59,154.08,154.5,5512
1729324800,154.54,154.89,154.51,154.73,5286
1729328400,154.75,154.86,154.5,154.77,2270
1729332000,154.71,154.96,154.18,154.31,5294
1729335600,154.38,154.68,153.61,153.76,14781
1729339200,153.76,154.7,153.72,154.5,4293
1729342800,154.5,154.86,154.19,154.73,4052
1729346400,154.74,156.99,154.74,156.88,20974
1729350000,156.9,157.37,155.86,156.41,32862
1729353600,156.4,156.88,155.71,155.91,15408
1729357200,155.97,156.19,155.24,155.57,7174
1729360800,155.58,156.16,155.54,155.79,2043
1729364400,155.76,156.79,155.67,156.28,4990
1729368000,156.24,156.78,156.04,156.68,2516
1729371600,156.69,157.78,156.68,156.89,6502
1729375200,156.96,158.84,156.84,158.81,14893
1729378800,158.85,159.73,158.57,159.63,15962
1729382400,159.69,160.52,158.7,158.7,21894
1729386000,158.74,159.31,158.42,158.68,9371
1729389600,158.8,159.21,158.25,158.52,8576
1729393200,158.52,158.98,158.07,158.96,7807
1729396800,158.94,159.88,158.61,159.35,8353
1729400400,159.42,160.45,159.18,159.22,17839
1729404000,159.23,159.3,158.53,159.2,8273
1729407600,159.2,159.4,158.64,158.72,4802
1729411200,158.73,159.25,158.31,158.72,6806
1729414800,158.67,159.37,158.52,159.05,3747
1729418400,159.06,159.3,158.59,158.69,2887
1729422000,158.69,159.22,158.69,159.12,2334
1729425600,159.09,159.21,158.17,158.28,7436
1729429200,158.19,158.66,157.56,158.09,18726
1729432800,158.13,161.41,158.09,160.7,42031
1729436400,160.72,160.85,158.78,159.95,49488
1729440000,159.96,160.22,159.24,159.75,11416
1729443600,159.81,160.54,159.24,160.09,14199
1729447200,160.15,161.1,160.08,160.39,9176
1729450800,160.36,160.44,159.43,160.25,7235
1729454400,160.24,163.19,160.09,162.68,45567
1729458000,162.72,163.86,162.68,163.76,25480
1729461600,163.76,167.31,163.4,166.65,49748
1729465200,166.62,167.9,166.32,167.31,37656
1729468800,167.34,169.9,167.13,168.7,50468
1729472400,168.73,169.89,168.42,169.73,18113
1729476000,169.74,170,168.03,168.44,17211
1729479600,168.44,169.54,168.25,169.48,25015
1729483200,169.49,170.87,168.62,170.52,17634
1729486800,170.55,171.72,169.51,169.59,36296
1729490400,169.58,171.04,168.68,169.11,18506
1729494000,169.1,169.86,168.55,168.66,13796
1729497600,168.66,169.62,166.59,166.59,28218
1729501200,166.6,167.68,165.75,166.97,29104
1729504800,167,167.4,165.91,166.13,14946
1729508400,166.17,166.95,165.77,166.4,9760
1729512000,166.6,167.1,165.36,165.75,16153
1729515600,165.71,166.22,161.45,162.58,75912
1729519200,162.6,164.87,162.5,164.28,28132
1729522800,164.27,165.31,163.1,165.28,23127
1729526400,165.33,165.33,163.06,164.66,31198
1729530000,164.6,166.12,164.5,165.74,16172
1729533600,165.66,166.05,164.8,165.78,12548
1729537200,165.7,168.01,165.7,167.63,19277
1729540800,167.68,167.68,166.09,166.5,15417
1729544400,166.46,168.31,166.41,167.41,10089
1729548000,167.34,168,166.85,167.75,9504
1729551600,167.51,167.51,165.99,166.13,15760
1729555200,166.12,166.46,162.95,165.36,39683
1729558800,165.38,167.26,164.9,167,18986
1729562400,166.97,167.81,165.85,165.89,13876
1729566000,165.89,166.5,165.41,166.36,13686
1729569600,166.32,167.39,166.05,167.33,9829
1729573200,167.34,168.85,167.06,168.36,25071
1729576800,168.36,168.87,168.19,168.19,10607
1729580400,168.18,168.5,166.83,167.01,13578
1729584000,167.02,167.13,164.95,165.64,31822
1729587600,165.6,165.77,163.54,164.97,34180
1729591200,164.96,166.79,164.08,166.38,23049
1729594800,166.37,169.14,166.31,167.8,41978
1729598400,167.78,169.2,165.5,166.05,46065
1729602000,166.05,167.03,164.8,166.11,47033
1729605600,166.05,170.43,165.55,170.05,83828
1729609200,170.03,170.83,167.26,167.7,55886
1729612800,167.68,168.03,165.94,166.06,35869
1729616400,166.04,167.64,165.95,167.15,35633
1729620000,167.15,168.61,167.14,167.8,16103
1729623600,167.82,169.05,167.69,168.39,15911
1729627200,168.36,168.76,167.7,168.2,10924
1729630800,168.19,168.27,167.01,167.48,12276
1729634400,167.46,169.08,167.28,168.82,17539
1729638000,168.85,168.99,166.85,167.53,22631
1729641600,167.55,167.91,166.23,166.45,17427
1729645200,166.1,166.57,166.1,166.56,797
1729648800,167.27,167.42,165.9,165.97,8037
1729652400,165.96,166.36,164.52,165.43,33770
1729656000,165.48,166.12,164.97,165.82,11301
1729659600,165.82,165.95,164.28,165.03,15287
1729663200,164.99,166.32,164.75,165.18,18507
1729666800,165.2,165.64,164.65,165.63,22331
1729670400,165.62,166.31,164.42,164.82,28556
1729674000,164.8,165.97,164.07,165.65,26946
1729677600,165.65,166.73,165.35,165.47,26995
1729681200,165.54,166.83,165.43,166.28,17792
1729684800,166.29,167,164.86,166.37,77887
1729688400,166.36,169.35,166.09,168.9,49721
1729692000,168.91,169.14,167.18,167.72,33768
1729695600,167.58,168.39,166.27,168,50607
1729699200,168.03,168.35,165.5,165.55,49476
1729702800,165.5,167.21,165.34,166.18,43014
1729706400,166.19,170.19,164.64,169.63,91345
1729710000,169.57,173.69,168.86,172.89,80090
1729713600,172.89,174.2,172.14,173.41,43360
1729717200,173.45,173.52,171.02,171.32,17989
1729720800,171.37,171.86,169.95,170.85,26547
1729724400,170.86,171.84,170.58,170.71,14114
1729728000,170.77,172.81,170.4,172.73,23707
